pid,labels
0000143588,"['Movies & TV', 'Movies']"
0001526863,"['Movies & TV', 'Christian Video', 'Bible']"
0005000009,"['Movies & TV', 'Christian Video', 'General']"
0005019281,"['Movies & TV', 'Movies']"
000503860X,"['Movies & TV', 'Movies']"
0005089549,"['Movies & TV', 'Genre for Featured Categories', 'Faith & Spirituality']"
0005092663,"['Movies & TV', 'Independently Distributed', 'Documentary']"
0005114349,"['Movies & TV', 'Christian Video', 'Christmas']"
0005119367,"['Movies & TV', 'Genre for Featured Categories', 'Action & Adventure']"
0005123968,"['Movies & TV', 'Christian Video', 'Bible']"
0005164850,"['Movies & TV', 'Genre for Featured Categories', 'Faith & Spirituality']"
0005419263,"['Movies & TV', 'Christian Video', 'Bible']"
0006486576,"['Movies & TV', 'Christian Video', 'General']"
0307142477,"['Movies & TV', 'Studio Specials', 'Sony Pictures Home Entertainment', 'All Sony Pictures Titles']"
0307142493,"['Movies & TV', 'Studio Specials', 'Sony Pictures Home Entertainment', 'All Sony Pictures Titles']"
0310271908,"['Movies & TV', 'Genre for Featured Categories', 'Faith & Spirituality']"
0310396336,"['Movies & TV', 'Genre for Featured Categories', 'Faith & Spirituality']"
0375810331,"['Movies & TV', 'Studio Specials', 'Sony Pictures Home Entertainment', 'All Sony Pictures Titles']"
0510539610,"['Movies & TV', 'Movies']"
0578047861,"['Movies & TV', 'Genre for Featured Categories', 'Documentary']"
0615115187,"['Movies & TV', 'Movies']"
0714860239,"['Movies & TV', 'Movies']"
0718017781,"['Movies & TV', 'Genre for Featured Categories', 'Special Interests']"
073891908X,[]
0738920762,"['Movies & TV', 'Studio Specials', 'Sony Pictures Home Entertainment', 'All Sony Pictures Titles']"
0739040375,"['Movies & TV', 'Genre for Featured Categories', 'Music Videos & Concerts']"
0740309323,"['Movies & TV', 'Movies']"
0740318764,"['Movies & TV', 'Genre for Featured Categories', 'Kids & Family']"
0740319140,"['Movies & TV', 'Genre for Featured Categories', 'Drama']"
0740325124,"['Movies & TV', 'Movies']"
0757915655,"['Movies & TV', 'Studio Specials', 'Warner Home Video', 'All Titles']"
0757990290,"['Movies & TV', 'Musicals & Performing Arts', 'Musicals']"
0764000969,"['Movies & TV', 'Yoga', 'General']"
076400297X,"['Movies & TV', 'Genre for Featured Categories', 'Comedy']"
0764003828,"['Movies & TV', 'Widescreen', 'Comedy']"
0764004581,"['Movies & TV', 'Genre for Featured Categories', 'Action & Adventure']"
0764005529,"['Movies & TV', 'Genre for Featured Categories', 'Kids & Family']"
0764006401,"['Movies & TV', 'Art House & International', 'By Country', 'United Kingdom', 'Drama']"
0764008722,"['Movies & TV', 'Boxed Sets', 'Mystery & Suspense']"
0764193627,"['Movies & TV', 'Genre for Featured Categories', 'Kids & Family']"
0767000021,[]
0767001311,"['Movies & TV', 'Boxed Sets', 'Television']"
076700941X,"['Movies & TV', 'Boxed Sets', 'Television']"
0767015525,"['Movies & TV', 'A&E Home Video', 'All A&E Titles']"
0767018699,"['Movies & TV', 'A&E Home Video', 'All A&E Titles']"
0767019245,"['Movies & TV', 'Boxed Sets', 'Military & War']"
0767020294,"['Movies & TV', 'A&E Home Video', 'All A&E Titles']"
0767020731,"['Movies & TV', 'Boxed Sets', 'Comedy']"
0767023447,"['Movies & TV', 'Musicals & Performing Arts', 'Ballet & Dance']"
0767023765,"['Movies & TV', 'Genre for Featured Categories', 'Drama']"
0767025512,"['Movies & TV', 'Genre for Featured Categories', 'Drama']"
0767027329,"['Movies & TV', 'Boxed Sets', 'Documentary']"
0767087372,"['Movies & TV', 'Genre for Featured Categories', 'Action & Adventure']"
0767088247,"['Movies & TV', 'TV']"
0767726227,"['Movies & TV', 'Boxed Sets', 'Comedy']"
0767800311,"['Movies & TV', 'Studio Specials', 'Sony Pictures Home Entertainment', 'Sony Pictures Classics', 'All Sony Pictures Classics']"
076780046X,"['Movies & TV', 'Studio Specials', 'Sony Pictures Home Entertainment', 'All Sony Pictures Titles']"
0767800745,"['Movies & TV', 'Studio Specials', 'Sony Pictures Home Entertainment', 'Sony Pictures Classics', 'All Sony Pictures Classics']"
0767801814,"['Movies & TV', 'Studio Specials', 'Sony Pictures Home Entertainment', 'All Sony Pictures Titles']"
076780192X,"['Movies & TV', 'Studio Specials', 'Sony Pictures Home Entertainment', 'All Sony Pictures Titles']"
0767802799,"['Movies & TV', 'Studio Specials', 'Sony Pictures Home Entertainment', 'All Sony Pictures Titles']"
0767803310,"['Movies & TV', 'Studio Specials', 'Sony Pictures Home Entertainment', 'Sony Pictures Classics', 'All Sony Pictures Classics']"
