,0005089549
0,000503860X
1,0005419263
2,0005092663
3,0005019281
4,0005119367
5,0005123968
6,0006486576
7,0307142477
8,0307142493
9,0310271908
10,0310396336
11,0375810331
12,0510539610
13,0578047861
14,0615115187
15,0738921467
16,0738920061
17,0738920762
18,0739040375
19,0740318764
20,0740325124
21,0757915655
22,0764000969
23,0764005529
24,0764006401
25,0764004581
26,0764003828
27,0764008722
28,0764193627
29,076700941X
30,0767001311
31,0767015525
32,0767023447
33,0767018699
34,0767020294
35,0767087372
36,0767020731
37,0767027329
38,0767025512
39,0767023765
40,0767019245
41,0767803310
42,0767803434
43,0767808673
44,0767809726
45,0767809254
46,0767805534
47,0767813421
48,076780192X
49,0767819454
50,0767819462
51,0767801814
52,0767819519
53,0767811704
54,0767815335
55,0767815963
56,0767826728
57,0767817737
58,0767827686
59,0767830555
60,0767821408
61,0767726227
62,0767800311
63,0767817664
64,0767837398
65,0767834739
66,0767817486
67,0767818105
68,0767835069
69,0767839129
70,0767821807
71,0767853636
72,0767814908
73,0767850823
74,0767836359
75,0767821610
76,076780046X
77,0767811089
78,0767088247
79,0767839277
80,0767824555
81,0767824571
82,0767805712
83,076785344X
84,0767817648
85,0767882938
86,0767802799
87,0767804325
88,0767827759
89,0769720307
90,0769721036
91,0769770444
92,0778607704
93,0780021045
94,0780021932
95,0780020715
96,0780021649
97,0780022319
98,0780620372
99,0780621956
100,0780023196
101,0780606957
102,078062176X
103,0780023099
104,0780615573
105,0780622677
106,0780622189
107,0780622383
108,078060718X
109,078062386X
110,0780621638
111,0780626699
112,0780627822
113,0780021088
114,0780630068
115,0780626613
116,0780622537
117,0780023447
118,0780629752
119,078062582X
120,0780020855
121,0780625390
122,0780626702
123,0780022386
124,0780630866
125,0780023161
126,0780623614
127,078065062X
128,0780662504
129,0780623223
130,0780621832
131,0780620496
132,078063134X
133,0780630874
134,0780635299
135,0781740681
136,0782007848
137,0782010792
138,0782006752
139,0782008119
140,0782008372
141,078201061X
142,0783114729
143,0783114222
144,0783111037
145,0783112750
146,0783211201
147,078311530X
148,078310135X
149,0783111509
150,0782010040
151,0783218923
152,0783217048
153,0783110960
154,0783110901
155,0783222726
156,0783115539
157,0783224788
158,0783222424
159,0783211694
160,0783227272
161,0783226853
162,0783226535
163,0783225857
164,0783114907
165,0783116640
166,0783226608
167,0783226799
168,0783224583
169,0783228252
170,0783228686
171,0783227930
172,0783228341
173,0783225911
174,078322995X
175,0783226896
176,0783217498
177,0783117159
178,0783209967
179,078322723X
180,0783230427
181,078322687X
182,0783226985
183,0783231032
184,078322561X
185,0783229747
186,0783239955
187,0783229569
188,0783230346
189,0783227361
190,0783240473
191,0783241569
192,0783227892
193,0783240066
194,0783234287
195,0783210973
196,0783241313
197,0783230486
198,0783235380
199,0783229712
200,0783239408
201,0783226993
202,078322947X
203,0783235410
204,0783245130
205,078322740X
206,0783243499
207,0783235615
208,0783235674
209,0783116926
210,0783227922
211,0783229399
212,0784001308
213,0784011370
214,078400949X
215,0784013470
216,0784011680
217,0784017808
218,0784011532
219,0784017956
220,0784010331
221,0784017875
222,0784011249
223,0784017964
224,0784011648
225,0788600931
226,0788606344
227,0788810634
228,0788812467
229,0788821075
230,0788857746
231,078885383X
232,0788815474
233,078887148X
234,078882273X
235,0788872796
236,0788812262
237,0788860119
238,0788832182
239,0788802194
240,0788812424
241,0788861956
242,0788832492
243,0788814664
244,0790724960
245,0790732548
246,0790732521
247,079073124X
248,0790731266
249,0790732181
250,0790729687
251,0790731215
252,0790732300
253,0790733919
254,0790733226
255,0790732432
256,0790729733
257,0790734419
258,0790725657
259,0790729709
260,0790729342
261,0790729989
262,0790729377
263,0790729644
264,0790731797
265,0790733927
266,0790729628
267,0790732149
268,0790736063
269,0790739313
270,0790737744
271,0790740281
272,079073463X
273,0790740664
274,0790734737
275,0790740451
276,0790736977
277,0790740443
278,0790737647
279,0790731517
280,0790741288
281,079073608X
282,0790743213
283,0790741067
284,0790741644
285,0790744813
286,0790743442
287,0790744929
288,0790748193
289,0790731614
290,0790750732
291,0790744236
292,0790751569
293,0790748266
294,079072961X
295,0790741431
296,0790742462
297,0790744546
298,0790750414
299,0790734966
300,0790757354
301,0790785366
302,0790737868
303,079075181X
304,079079568X
305,0790745003
306,0790751445
307,0790741296
308,0790751143
309,079074886X
310,0790746387
311,079074676X
312,0790736527
313,0792115465
314,0792151712
